,date,CPI,interest,oil_price,gold_price,exchange_rate(w/d),KOSPI200(open),sent
158,2020-08-20,99.99,0.57,947,74140,"1,182.30",310.45,0.08838849936445467
159,2020-08-21,100.01,0.57,945,74890,"1,186.30",306.17,0.08061677877692768
160,2020-08-24,100.06,0.58,945,74480,"1,185.30",306.86,0.24808159521335146
161,2020-08-25,100.08,0.59,949,73800,"1,190.00",312.45,0.2981660515174975
162,2020-08-26,100.1,0.6,949,73770,"1,186.30",313.61,0.19570894188795784
163,2020-08-27,100.12,0.61,947,74800,"1,187.00",314.46,0.07947443370553545
164,2020-08-28,100.14,0.61,947,73680,"1,185.70",313.86,0.08920358701176724
165,2020-08-31,100.19,0.61,949,75180,"1,185.10",315.46,0.28246463042692066
166,2020-09-01,100.21,0.62,948,75250,"1,183.30",309.08,0.3655675347679709
167,2020-09-02,100.23,0.62,947,75610,"1,184.60",311.69,0.16501903823454592
168,2020-09-03,100.24,0.62,941,74450,"1,186.20",314.73,0.18213078670228255
169,2020-09-04,100.26,0.62,950,74000,"1,187.50",308.25,0.33682496540789647
170,2020-09-07,100.32,0.63,951,74370,"1,190.20",312.08,0.12311428580849848
171,2020-09-08,100.34,0.63,955,74020,"1,187.20",316.31,0.3817858903029795
172,2020-09-09,100.35,0.63,950,74030,"1,187.90",313.54,0.09319915132412626
173,2020-09-10,100.37,0.63,950,74280,"1,189.60",317.92,0.017584227203984445
174,2020-09-11,100.39,0.64,947,74250,"1,185.30",315.64,0.10891699834620708
175,2020-09-14,100.45,0.64,948,74230,"1,188.30",319.83,0.2735026055391895
176,2020-09-15,100.46,0.65,928,74400,"1,184.20",321.82,0.327148850632497
177,2020-09-16,100.48,0.65,930,74500,"1,180.50",323.14,0.1325028069366041
178,2020-09-17,100.5,0.66,929,74250,"1,177.80",321.3,0.18823729417139137
179,2020-09-18,100.52,0.66,926,73520,"1,175.40",319.2,0.2826395019749432
180,2020-09-21,100.57,0.66,927,73020,"1,163.60",318.13,0.01376848965431034
181,2020-09-22,100.59,0.66,924,72020,"1,160.60",315.53,0.2114452872175804
182,2020-09-23,100.61,0.67,924,71580,"1,163.90",311.5,0.20399439931846836
183,2020-09-24,100.63,0.67,923,69400,"1,164.40",304.85,0.21387179887467736
184,2020-09-25,100.65,0.67,923,70200,"1,170.30",305.38,0.06086856452983414
185,2020-09-28,100.7,0.68,926,71000,"1,170.50",306.49,0.22766455361198493
186,2020-09-29,100.72,0.68,915,70810,"1,173.50",310.01,0.11988286940164712
187,2020-10-05,100.65,0.68,915,71700,"1,169.50",309.65,0.1615016600830394
188,2020-10-06,100.63,0.68,921,71110,"1,163.40",315.13,0.14773463692561414
189,2020-10-07,100.61,0.68,922,70880,"1,160.00",312.34,0.2758884793014462
190,2020-10-08,100.6,0.67,920,70580,"1,162.50",320.31,-0.12328720307506955
191,2020-10-12,100.52,0.67,928,71420,"1,156.20",318.99,0.09270393199544787
192,2020-10-13,100.51,0.67,922,71400,"1,148.30",321.04,0.07136913563018832
193,2020-10-14,100.49,0.66,920,70590,"1,149.50",319.6,0.23520821650000975
194,2020-10-15,100.47,0.66,918,70440,"1,145.70",315.76,0.16194302238432853
195,2020-10-16,100.45,0.66,918,70250,"1,144.60",314.41,0.22473723225342826
196,2020-10-19,100.4,0.66,922,70440,"1,145.60",313.43,0.248754596710217
197,2020-10-20,100.38,0.65,920,70220,"1,142.20",311.02,0.10335101020640725
